,serviceCategories,versions,servicePrices,name,editor,short_description,description,number_if_subscription,serviceClass,main_serviceCategory,rating,task_name,keywordMainCategory,keywordName,keywordServiceCategories,eneable,deployment_type,eneable_trial,trial_period,configs,main_version,haveAndroidApp,haveIOSApp,benefits,gain_creators,pain_relievers,objectId,eneable_demo,rank,url_demo
10,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'mdXJA7COmP'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'kI9Ay99zrL'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '9midjqAkRy'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'V3WOoqOqQF'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'WXgyRUYM7N'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'MODiJZJg1I'}]",,,Deployment,,This is DeploymentService,"Fast and effective deployment of your technologies shortens the time it takes to see value from your investments; and when your people use those technologies to their fullest extent, they help grow their skills and your business",,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': '6rdsqAqMAh'}",,,deployment,,,,True,Not Automated,,,,,,,,,,TAdXUq421Q,,3.0,
11,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'mdXJA7COmP'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'kI9Ay99zrL'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '9midjqAkRy'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'V3WOoqOqQF'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'WXgyRUYM7N'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'MODiJZJg1I'}]",,,Discovery,,This is DiscoveryService,The first step of the consulting process is the discovery phase. Discovery involves gathering data from multiple sources before the consultants apply their expertise to solve a business problem. The discovery phase of a consulting engagement is therefore key to the consulting process. ,,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': '6rdsqAqMAh'}",,,discovery,,,,True,Not Automated,,,,,,,,,,GZUspWUOi8,,6.0,
12,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'mdXJA7COmP'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'kI9Ay99zrL'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '9midjqAkRy'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'V3WOoqOqQF'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'WXgyRUYM7N'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'MODiJZJg1I'}]",,,Manage,,This is ManageService,Systems management is the administration of the information technology systems in an enterprise data center. An effective systems management plan facilitates the delivery of service and allows the organization's employees to respond to changing business requirements in an agile manner. ,,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': '6rdsqAqMAh'}",,,manage,,,,True,Not Automated,,,,,,,,,,E6HdFmXWg0,,1.0,
13,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'mdXJA7COmP'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'kI9Ay99zrL'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '9midjqAkRy'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'V3WOoqOqQF'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'WXgyRUYM7N'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'MODiJZJg1I'}]",,,Planning ,,This is PlanningService,"These services support customers’ IT initiatives by providing strategic, architectural, operational and implementation planning. Strategic planning includes advisory services that help clients assess their IT needs and formulate system implementation plans. Architecture planning includes advisory services that combine strategic plans and knowledge of emerging technologies to create the logical design of the system and the supporting infrastructure to meet customer requirements. ",,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': '6rdsqAqMAh'}",,,planning,,,,True,Not Automated,,,,,,,,,,ngMtunarGs,,5.0,
14,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'mdXJA7COmP'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'kI9Ay99zrL'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '9midjqAkRy'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'V3WOoqOqQF'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'WXgyRUYM7N'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'MODiJZJg1I'}]",,[],Optimize ,,This is OptimizeService,"Most consultants are so excited to get the work done, that this final step may take a back seat. It’s critical to measure the results of your intervention. If you want to leave a company in a place to continually improve—and help them create a culture of improvement—setting up a system to measure these results is critical",,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': '6rdsqAqMAh'}",,,optimize,,,,True,Not Automated,,,,,,,,,,ACoFsG2IG8,,2.0,
15,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'agAEiiCNGl'}]",,,,,This is N/AService,"A service-level agreement (SLA) is a commitment between a service provider and a client. Particular aspects of the service – quality, availability, responsibilities – are agreed between the service provider and the service user.[1] The most common component of SLA is that the services should be provided to the customer as agreed upon in the contract. As an example, Internet service providers and telcos will commonly include service level agreements within the terms of their contracts with customers to define the level(s) of service being sold in plain language terms.",,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': '6rdsqAqMAh'}",,,,,,,True,Not Automated,,,,,,,,,,Hn0NJStHCR,,5.0,
16,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'agAEiiCNGl'}]",,,24Hx8x5,,This is 24Hx8x5Service,"A service-level agreement (SLA) is a commitment between a service provider and a client. Particular aspects of the service – quality, availability, responsibilities – are agreed between the service provider and the service user.[1] The most common component of SLA is that the services should be provided to the customer as agreed upon in the contract. As an example, Internet service providers and telcos will commonly include service level agreements within the terms of their contracts with customers to define the level(s) of service being sold in plain language terms.",,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': '6rdsqAqMAh'}",,,24hx8x5,,,,True,Not Automated,,,,,,,,,,5fQA3zRBI3,,3.0,
17,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'agAEiiCNGl'}]",,,72Hx8x5,,This is 72Hx8x5Service,"A service-level agreement (SLA) is a commitment between a service provider and a client. Particular aspects of the service – quality, availability, responsibilities – are agreed between the service provider and the service user.[1] The most common component of SLA is that the services should be provided to the customer as agreed upon in the contract. As an example, Internet service providers and telcos will commonly include service level agreements within the terms of their contracts with customers to define the level(s) of service being sold in plain language terms.",,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': '6rdsqAqMAh'}",,,72hx8x5,,,,True,Not Automated,,,,,,,,,,H3tQqskLpw,,4.0,
18,,,"[{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'PSR5ArS7Z8'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'sfyzd6MaZH'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'WjktZykAAK'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'wleiqSglb9'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'nGbrubsiS5'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '8A66JCdhEe'}]",Professional Email,,,Email description,,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': 'ngI6x6Kvxb'}",,,email,,,,True,Not Automated,,,,,,,,,,Nd3our0ZjN,,,
19,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '1pSekv8tDk'}]",['3.8.12'],"[{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'niCzqvNs2p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kqjeGDDnok'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'WyRlkmAw6G'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'SykQsRCcZr'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '7XmSL7PCvS'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'Gyn4DtR4zW'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'ouCAcAFddE'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'JBHAIK5ehS'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '6zWR9BSb9p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'Dz5hgZZ3pf'}]",Joomla,ACESY Soft,A mobile-ready and user-friendly CMS with several designs to build your website.,"Joomla is a free content management system (CMS) for publishing web content. It is built on a model–view–controller web application framework that can be used independently of the CMS. Joomla is written in PHP. It uses object-oriented programming techniques and software design pattern while supporting some of the famous databases.
",10.0,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': 'Qh2MBWKdhx'}","{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '1pSekv8tDk'}",3.5,joomla,"['content', 'management', 'system']",['joomla'],"['content', 'management', 'system']",True,Partly Automated,True,14.0,"[{'name': 'MySQL Database host', 'key': 'k8sAppName'}, {'name': 'MySQL Database Name', 'value': 'joomla'}, {'name': 'MySQL Database User', 'value': 'joomla'}, {'name': 'MySQL Database Password', 'key': 'pwd'}]",,True,False,"['Joomla is a flexible system which is easy to extend and customise.', 'It’s built-in two-factor authentication and extensive access control levels can ensure high security of your data.', 'Has powerful SEO tools that could enhance the visibility and searchability of your page to drive quality traffic.', 'Its ability to extend allows you to grow and update your website while adding new features on the go.']","['Edit content simply and quickly: Its intense editors allows fast uploading', 'Support for language internationalisation: Enables you to support multiple languages on your website - cater to international markets.', 'Flexibility: Gives space to adapt new specialisations as the business evolves.']","['Built-in SEO tools: Since Joomla version 1.6, it builds SEO friendly URLs assisting SEO ranking by default.', 'Easy integration of selected e-commerce components: Allows you to manage your content and online business from one place.', 'Quick request executions: Increases the response speed of pages, which adds to good on-website customer experience.']",lKqcC30btt,,,
20,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '1pSekv8tDk'}]",['2.1.0'],"[{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'niCzqvNs2p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kqjeGDDnok'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'WyRlkmAw6G'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'SykQsRCcZr'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '7XmSL7PCvS'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'Gyn4DtR4zW'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'ouCAcAFddE'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'JBHAIK5ehS'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '6zWR9BSb9p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'Dz5hgZZ3pf'}]",Ghost,Ghost Fondation,An adaptable platform for building and running a modern online publication.,"Ghost is a free adaptable platform for building and running a modern online publication. It is a headless Node.js CMS that powers blogs, magazines and journalists from Zappos to Sky News.
",10.0,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': 'Qh2MBWKdhx'}","{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '1pSekv8tDk'}",4.0,ghost,"['content', 'management', 'system']",['ghost'],"['content', 'management', 'system']",True,Fully Automated,True,14.0,"[{'name': 'Admin folder', 'value': '/ghost'}]",,True,False,"['Direct and simple platform makes it easy to use and customise according to your business requirements.', 'Ghost runs automatic Google sitemaps to make sure that every page in your site gets indexed by search engines.', 'Is a modern application with built-in performance optimisers requiring no additional plugins.', ""Ghost's CLI tool attempts to set up SSL certificates for all new Ghost installations by default with Let's Encrypt."", 'Your data will not be traded with any third-party or advertisers.']","['Regular penetration testing and brute-force protection: Protects data from unauthorised access.', 'Team Management: Increase collaboration across your staff members in managing your site and creating content.', 'Multi-language: Write your posts in any preferred language.', 'Native desktop and mobile app: Upload images directly from your device, and manage your site from wherever you are.']","['Automated SEO: Worry less about optimising your page manually for better indexing.', 'Schedule posts: Allows you to schedule posts for future dates.', 'Manage multiple sites simultaneously: Its desktop app allows you to manage all your Ghost sites through a single login.']",paQSdvsNQA,,,
21,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'Y75plfloDh'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '3qMFRyth3m'}]",['1.31.0'],"[{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'niCzqvNs2p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kqjeGDDnok'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'udbz7SmUsG'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'cBoebS59tL'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'RalFGbWgKA'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'eLfTyU6YoH'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'FqgJXfPgJM'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'TWLBcv7ctf'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'lZofvMsPdC'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'sOFOJ7KmAH'}]",MediaWiki,Wikimedia Foundation,A feature-rich wiki implementation that uses PHP to process and display data.,"MediaWiki is a collaboration and documentation platform written in PHP, originally for use on Wikipedia. It is now used famously by several other projects of the non-profit Wikimedia Foundation and by many other wikis, including the home of MediaWiki.
",10.0,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': 'Qh2MBWKdhx'}","{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'Tiw3Mrszyx'}",4.0,mediawiki,['collaboration'],['mediawiki'],"['software', 'development', 'devops', 'tool']",True,Partly Automated,True,14.0,"[{'name': 'MySQL Database host', 'key': 'k8sAppName'}, {'name': 'MySQL Database Name', 'value': 'mediawiki'}, {'name': 'MySQL Database User', 'value': 'mediawiki'}, {'name': 'MySQL Database Password', 'key': 'pwd'}]",,False,False,"['It’s free of charge - eliminating any license or subscription fees.', 'Customisable according to your requirements.', 'It has been built for scalability with thousands of extensions that can be added at any time.', 'Ability to import any article or template you have seen on Wikipedia.', 'An edit made will not delete its previous versions allowing users to revert back in case of vandalism or spamming.']","['Cost savings: MediaWiki is a completely free platform allowing you to eliminate any operating costs.', 'High-usage design: It is capable of handling hundreds of requests simultaneously.', 'Convenience in creating, accessing and sharing of data.']","['Attack prevention extensions: Availability of a myriad of extensions that can be added to protect your content from vandalism.', 'Single platform for creating and managing data.', 'Version backup control: Allows you to protect your data from vandalism and spamming.']",2TklcqXBtG,,,
22,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'jTlbZD7UHn'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '1pSekv8tDk'}]","['2.0', '4.5', '5.0']","[{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'niCzqvNs2p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kqjeGDDnok'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'WyRlkmAw6G'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'SykQsRCcZr'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '7XmSL7PCvS'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'Gyn4DtR4zW'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'ouCAcAFddE'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'JBHAIK5ehS'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '6zWR9BSb9p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'Dz5hgZZ3pf'}]",Moodle,Moodle Community,"Moodle is a free, online Learning Management system.","Moodle is a free, online Learning Management System available to students, educators or administrators to build a personalised curriculum by using plugins for various content, activities and workflow. Moodle is a versatile eLearning platform for different industries, from education to manufacturing and media and entertainment. It includes videos, web conferencing, audio, whiteboards, desktop sharing and session recording features. 
",5.0,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': 'Qh2MBWKdhx'}","{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'jTlbZD7UHn'}",3.5,moodle,"['student', 'information', 'system']",['moodle'],"['student', 'information', 'system', 'content', 'management', 'system']",True,Partly Automated,True,14.0,,,True,True,"['Moodle’s source code is easily accessible and can be modified to meet specific individual or enterprise needs.', 'The application can be accessed offline; perfect for on-the-go use and remote learning.', 'It’s 100% free.', 'The platform is intuitive and easy-to-use, making it easy for beginners to get started right away.', 'Moodle’s design is easily customisable; visually integrate the platform, seamlessly, into your pool of enterprise resources.']","['Learning resources can be easily shared across multiple users.', 'Access can be restricted on a per-user basis.', 'Personalised learning environments through the installation of community-sourced plugins.', 'Moodle mobile access makes learning on-the-go a reality.']","['The traditional cost and time associated with learning programmes are eliminated.', 'Centralised access; common learning resources are on a platform accessible both online and offline.', 'Companies don’t need to develop their own learning platforms - Moodle can be easily customised to enterprise needs.']",auGIGMX1He,,,
23,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'GCbpqz9FmL'}]","['2.0', '4.5', '5.0']","[{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'niCzqvNs2p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kqjeGDDnok'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'udbz7SmUsG'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'cBoebS59tL'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'RalFGbWgKA'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'eLfTyU6YoH'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'FqgJXfPgJM'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'TWLBcv7ctf'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'lZofvMsPdC'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'sOFOJ7KmAH'}]",Redmine,Redmine Foundation,"A flexible, web-based project management and issue tracking tool. ","Redmine is a 100% free, customisable web application built using the Ruby on Rails framework. The platform comes with a plethora of plugins that handle budgeting, resources, customisation, multiple project management, Gantt charts and more. Having multiple database support, flexible hosting options, role-based access control, task distribution and tracking along with integrated Wiki apps make this platform one of the most versatile on the market
",10.0,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': 'Qh2MBWKdhx'}","{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'GCbpqz9FmL'}",4.0,redmine,"['project', 'management']",['redmine'],"['project', 'management']",True,Fully Automated,True,14.0,"[{'name': 'Admin user', 'value': 'admin'}, {'name': 'Admin password', 'value': 'admin'}]",,True,True,"['Manage multiple projects on the same platform, without any mix-ups or confusion.', 'Calculate billables in a highly accurate and data-driven manner through time tracking features.', 'Manage role-based access and enjoy easier information and data management.', 'Issue tracking features allow tasks to be assigned with deadlines, ensuring complete transparency and accountability for individual action items.', 'Multi-language support is available, making coordination across international offices efficient and effective.']","['Share project resources across a single platform and store them in a centralised location.', 'Stay ahead of the latest developments through synchronised feed and email notifications.', 'Improve service delivery rate through the efficient organisation of project tasks and information.', 'Eliminate the need to rely on multiple platforms or tools - tailor Redmine to your needs through the use of custom information fields.']","['Many of the efficiencies associated with project delivery are eliminated.', 'Eliminate a lack of coordination across your teams - make sure everyone is on the same page and up-to-date with project updates.', 'Prevent sensitive information from being leaked through role-based access to data and resources.']",CprptNr2Nx,,,
24,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'Tiw3Mrszyx'}]",['5.0.0'],"[{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'S7143GMweM'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '4Q1ZU3K9JG'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kqjeGDDnok'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'niCzqvNs2p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '9ZSLOxD6Qe'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '7IQOMYgNjp'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'Goh1jQ3AIG'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kiCubqkRdZ'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'B4NhELGUWs'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'SA0Ae3Z8mt'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'SMdv6WUGrX'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'iUkjzyA2FE'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'ygPE8tm2ZQ'}]",Mattermost,"Mattermost, Inc","A self-hostable online chat service with file sharing, search, and integrations.","Mattermost is a customisable, hybrid cloud alternative to proprietary SaaS messaging for teams. The software, developed in partnership with over 500 contributors from around the world, is designed to increase the agility, efficiency and innovation in high trust organisations while keeping data and operations under IT control.
",10.0,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': 'Qh2MBWKdhx'}","{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'Tiw3Mrszyx'}",4.5,mattermost,['collaboration'],['mattermost'],['collaboration'],True,Partly Automated,True,14.0,,,True,True,"['Improve collaboration across teams, especially among international offices, through communication tools like video calls and instant messaging.', 'Ensure coordination and synchronisation on all tasks through, both mobile and web applications.', 'Enjoy instant file sharing and storage of data in a centralised location.', 'Engage in discussion forums designed to increase participation and engagement in the workplace.', 'Extensive formatting options including 21 colour settings and 11 fonts.']","['Improved team building via messaging - leading to greater coordination and camaraderie among staff.', 'Recruit training is made more efficient; eliminate the need for long, boring briefings.', 'Increase workplace transparency through digital records of employee interactions.', 'Support efficient and effective remote working practices and policies through seamless workplace communication.']","['Prevent employees from working in a silo; provide them with the tools to coordinate efforts for the most efficient output.', 'Dispel frustration and uninspiring output by improving innovation through dynamic collaboration.', 'Make sure tasks don’t slip through the cracks, especially as a result of remote working arrangements.']",Nu581hqbbG,,,
25,,,"[{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'TPHW5C7jf0'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'koNgxKUPO6'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'j2PnNXey1m'}]",Digital Marketing ,,Digital Marketing short descriptiion,Digital Marketing description,,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': '61BFHkcMPq'}",,,digital_marketing,,,,True,Not Automated,,,,,,,,,,SuRhp77ZCx,,,
26,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'rGIvTPetST'}]",['2.8'],"[{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'niCzqvNs2p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kqjeGDDnok'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'udbz7SmUsG'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'cBoebS59tL'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'RalFGbWgKA'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'eLfTyU6YoH'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'FqgJXfPgJM'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'TWLBcv7ctf'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'lZofvMsPdC'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'sOFOJ7KmAH'}]",Mautic,"Mautic, Inc",Mautic is the open source marketing automation system.,"Mautic is a unique fully-featured omnichannel that provides open marketing automation services. The platform enables effortless communication with the audience via email, web, mobile or social media. Mautic’s open API allows users to improve their lead generation, tracking, asset management as well as installing other useful add-ons.
",10.0,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': 'Qh2MBWKdhx'}","{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'rGIvTPetST'}",4.5,mautic,"['customer', 'relationship', 'management']",['mautic'],"['customer', 'relationship', 'management']",True,Fully Automated,True,14.0,"[{'name': 'MySQL Database host', 'key': 'k8sAppName'}, {'name': 'MySQL Database Name', 'value': 'mautic'}, {'name': 'MySQL Database User', 'value': 'mautic'}, {'name': 'MySQL Database Password', 'key': 'pwd'}]",,False,False,"['Dynamic messaging tailored to enhance personalised business-to-consumer messaging.', 'Automate sophisticated drip campaigns using campaign decisions and condition logic to target the right customers.', 'Leverage high-end landing page design features using drag-and-drop features - engaging page design at your fingertips.', 'Gain insights into detailed customer tracking at an individual level. Go deeper than Google Analytics.', 'Enjoy the functionality of a sophisticated dashboard to track leads generated by your website, email and paid campaigns.']","['Target customers more effectively through sophisticated email campaigns.', 'Reduce turnaround time on campaign creation and design through powerful, inbuilt design tools.', 'Tailor email outreach and other marketing activity according to highly detailed, customer behaviour analytics.', 'Make the conversion process more insight-driven through seamless CRM integration.']","['Stop relying on email campaigns as a last-ditch effort to convert customers - make it the first line of action through dynamic, behaviour-based campaigns.', 'Make outreach efforts more data-driven through cutting-edge analytics.', 'Eliminate the inefficiencies of relying on IT or design teams to build dynamic landing pages.']",58z2G8LUxk,,,
